species,variety,petiole_length,petiole_width,blade_length,blade_width
capensis,rubra,54,1.95,38.3,3.95
capensis,rubra,45.9,1.15,27.6,2.95
capensis,rubra,21.2,0.85,21.85,2.65
capensis,rubra,56.4,1.65,38.2,3.3
capensis,rubra,28.6,1,15.8,2.8
capensis,rubra,32.85,1.5,24.65,4.4
capensis,rubra,57.75,1.85,38.55,4.8
capensis,rubra,50.3,1.65,46.45,3.4
capensis,rubra,63.75,2.4,59.1,3.9
capensis,rubra,29.9,1.5,25.05,4.4
capensis,rubra,61.55,2.55,49.15,3.3
capensis,rubra,56.25,1.55,35.5,3.55
capensis,rubra,42.35,1.35,17.55,2.25
capensis,rubra,48.3,1.85,39,2.9
capensis,rubra,58,1.9,41.95,3.85
capensis,rubra,36.55,1.15,23.8,2.75
capensis,rubra,44.05,1.35,30,2.95
capensis,rubra,41.45,1.3,24.15,3.05
capensis,rubra,16.5,0.8,8.85,2.05
capensis,rubra,47.55,1.55,29.25,3
capensis,rubra,38.2,1.2,24.65,3.65
capensis,rubra,41.35,1.45,30.9,3.4
capensis,rubra,8.7,0.85,8.1,2.85
capensis,rubra,33.2,1.05,13.65,2.6
capensis,rubra,15.1,1,9.15,2.2
capensis,typical,34.55,2.2,30.1,3.35
capensis,typical,18.85,1.25,12.65,2.9
capensis,typical,20.75,1.65,12.75,2.7
capensis,typical,42.15,2.1,34.45,3.65
capensis,typical,46.85,2.45,40.7,4.55
capensis,typical,53.45,2,46.85,3.3
capensis,typical,16.45,1.2,11.5,3
capensis,typical,40.15,2.45,37.95,4.1
capensis,typical,31.85,1.4,24.3,3
capensis,typical,38.8,2.2,33.8,4.25
capensis,typical,35.2,2.55,37,3.55
capensis,typical,41.95,2.3,41.35,4.05
capensis,typical,59.15,2.5,46.35,4.1
capensis,typical,31.4,1.5,23.55,2.6
capensis,typical,10.25,1.2,10.1,2.45
capensis,typical,35.85,2.45,38.35,3.35
capensis,typical,27.85,1.85,16.25,3.7
capensis,typical,58.35,2.5,42.6,4.4
capensis,typical,41.6,2.25,33.2,4.05
capensis,typical,44.6,2.8,36.7,3.8
capensis,typical,9.8,0.95,8.65,2.15
capensis,typical,56.7,2.1,46.95,4.1
capensis,typical,61.45,2.4,50.55,4
capensis,typical,34.95,2.25,37.85,4.15
capensis,typical,26.4,1.25,27.4,3.55
madagascariensis,typical,10.5,0.95,5.55,4.5
madagascariensis,typical,9,1.05,5.45,3.95
madagascariensis,typical,10.1,0.95,5.25,4.35
madagascariensis,typical,9.3,1.1,5.3,4.25
madagascariensis,typical,15.6,1.5,8.05,5.3
madagascariensis,typical,16.35,1.3,7.45,4.25
madagascariensis,typical,7.45,1.15,3.95,3.25
madagascariensis,typical,7.25,1,4.25,3.8
madagascariensis,typical,10,1.15,4.85,3.75
madagascariensis,typical,14.65,1.25,7.65,4.55
madagascariensis,typical,14.8,1.25,8.55,4.45
madagascariensis,typical,13.25,1.1,6.75,4.85
madagascariensis,typical,12.65,1.1,5.6,4.3
madagascariensis,typical,7.25,1.15,3.55,3
madagascariensis,typical,17.35,1.35,7.8,4.85
madagascariensis,typical,12.05,1.1,6.25,5
madagascariensis,typical,17.45,1.3,8.15,5.5
madagascariensis,typical,13.1,1.05,6.25,4.5
madagascariensis,typical,8.8,1.15,6,4.1
madagascariensis,typical,5.85,0.9,3.65,3
madagascariensis,typical,12.55,1.15,5.2,4.85
madagascariensis,typical,15.15,1.45,7,4.75
madagascariensis,typical,16.15,1.25,7.55,4.25
madagascariensis,typical,15.55,1.3,6.2,4.55
madagascariensis,typical,17.1,1.3,6.75,4.8
madagascariensis,typical,16.95,1.55,8.35,4.75
madagascariensis,typical,5.75,0.65,2.75,2.6
madagascariensis,typical,13.75,1.2,7.35,4.9
madagascariensis,typical,6.4,0.85,4.3,4.05
madagascariensis,typical,9.75,1.05,5.45,4.15
madagascariensis,typical,6.25,0.75,2.85,2.45
madagascariensis,typical,15.45,1.25,6.65,4.1
madagascariensis,typical,11.15,1.1,5.25,4.95
madagascariensis,typical,14.25,1,5.95,4.25
madagascariensis,typical,17.05,1.45,7.85,4.45
madagascariensis,typical,12.15,0.85,5.45,4.25
madagascariensis,typical,7.35,0.95,4.25,3.35
madagascariensis,typical,7.25,0.95,3.55,2.95
madagascariensis,typical,14.65,1.25,6.1,4.65
madagascariensis,typical,5.95,0.7,3.75,3.05
madagascariensis,typical,11.75,0.85,6.9,3.95
madagascariensis,typical,10.95,1.05,5.7,3.9
madagascariensis,typical,9.55,1.05,5.9,4.9
madagascariensis,typical,13.45,1.05,6.65,4.6
madagascariensis,typical,16.45,1.35,7.95,4.85
madagascariensis,typical,7.15,1.1,3.1,2.8
madagascariensis,typical,16.35,1.1,6.95,4.65
madagascariensis,typical,15.6,1.2,6.2,4.65
madagascariensis,typical,8.35,1.25,4.95,4.15
madagascariensis,typical,7.85,0.95,4.85,4.15
venusta,alba,7.5,2.9,13.45,6.85
venusta,alba,7.15,3.7,20.35,7.1
venusta,alba,7.5,2.4,13,7
venusta,alba,6.85,2.1,10,4.65
venusta,alba,11.35,3.05,16.5,6.4
venusta,alba,7.35,2.55,12.2,5.9
venusta,alba,9.85,3.4,18.6,7.65
venusta,alba,10.1,3,16,5.45
venusta,alba,9.7,2.6,16.95,6.1
venusta,alba,10.95,3.1,16.8,7.15
venusta,alba,8.85,2.65,15.6,5.35
venusta,alba,7.95,3.05,16.95,6.3
venusta,alba,4.65,1.95,5.55,4.5
venusta,alba,7.4,2.5,11.6,6.3
venusta,alba,9.9,2.7,13.95,4.9
venusta,alba,9.75,3.35,18.95,6.55
venusta,alba,10.05,3.8,17.95,8
venusta,alba,10.1,3.35,15.95,6.65
venusta,alba,8.8,3.1,17.35,6.9
venusta,alba,7.9,2.45,13.05,5.05
venusta,alba,12,3,16.05,6.85
venusta,alba,7.35,2.8,13.9,6
venusta,alba,4.85,2.4,6.7,4.05
venusta,alba,7.6,2.65,8.55,4.85
venusta,alba,6.55,2,6.85,5
venusta,typical,12.9,3.8,22.65,8.65
venusta,typical,6,2,6.35,5.25
venusta,typical,12.9,5.05,24.2,9.15
venusta,typical,8.3,2.45,18.9,6.8
venusta,typical,12.65,4,19.95,7.65
venusta,typical,9.45,3.6,20.1,8.95
venusta,typical,11.05,4.35,22.6,9.3
venusta,typical,11.1,3.65,21.8,8.15
venusta,typical,6.3,2.35,9.35,4.85
venusta,typical,8.3,2.95,10.75,5.1
venusta,typical,7.5,2.95,19,6.9
venusta,typical,9.75,3.35,21.8,7.75
venusta,typical,13.15,3.95,24.5,8.25
venusta,typical,12.7,4.1,24.65,8.35
venusta,typical,11.2,3.25,17.75,7.7
venusta,typical,9.95,2.95,14.55,6.9
venusta,typical,9.05,2.8,17.85,7.3
venusta,typical,9.4,2.4,14.35,5.2
venusta,typical,12,5.1,23.85,8.2
venusta,typical,10.1,3.6,21.3,9.4
venusta,typical,8.15,3.55,22.65,8.15
venusta,typical,8.75,3.9,18.7,7
venusta,typical,5.85,1.95,7.5,4.75
venusta,typical,12.65,4.2,25.9,9.65
venusta,typical,11.6,3.95,25.1,9.2
